component,n_samples,tau_int_steps,tau_int_time,ess,geyer_ips_cutoff_lag,ljung_box_q_10,ljung_box_p_10,ljung_box_q_25,ljung_box_p_25,ljung_box_q_50,ljung_box_p_50,ljung_box_q_100,ljung_box_p_100
0,14501,11.833713168996846,0.11833713168996847,1225.3972859500416,27,48211.11662449347,0.0,48470.92243710689,0.0,48632.72601945988,0.0,49056.11217092491,0.0
1,14501,14.180891705205635,0.14180891705205637,1022.5732134092003,41,52543.95318054169,0.0,53682.16105258605,0.0,53757.932518107846,0.0,53891.04848920302,0.0
2,14501,12.328123980749856,0.12328123980749857,1176.253582673491,39,49349.6310452135,0.0,49677.568947898115,0.0,49724.45314533905,0.0,49974.18519620816,0.0
3,14501,14.055924115499966,0.14055924115499965,1031.6646476491171,31,53196.24678611866,0.0,54579.097912556164,0.0,54725.94234311037,0.0,55055.43909637352,0.0
4,14501,12.626730649544802,0.126267306495448,1148.436630389575,19,53440.439404304685,0.0,53925.59913572523,0.0,54290.06889900094,0.0,54730.87444730678,0.0
5,14501,12.899582526610791,0.12899582526610792,1124.1449070220385,17,55985.955630829805,0.0,56478.00788161159,0.0,57046.82687291796,0.0,57186.77077352329,0.0
6,14501,13.777459205710901,0.137774592057109,1052.5162719399802,45,53246.2713064362,0.0,53861.13047824359,0.0,53947.27517782959,0.0,54114.447339459395,0.0
7,14501,13.480234330197424,0.13480234330197424,1075.7231398801378,23,54936.67099736559,0.0,55891.60460781966,0.0,56295.36415013321,0.0,57663.40409066289,0.0
8,14501,12.990595343049693,0.12990595343049693,1116.2690867557824,23,51269.22022261335,0.0,52173.40487259586,0.0,52224.09012592723,0.0,52749.93746557434,0.0
9,14501,11.8788635203648,0.11878863520364799,1220.7396755708053,17,50385.59278104549,0.0,50695.0312673944,0.0,51078.30120523864,0.0,51196.793102275115,0.0
10,14501,11.167227702484212,0.11167227702484211,1298.531774074435,13,49880.57167632455,0.0,50069.98399590556,0.0,50475.487420901765,0.0,51028.066816917664,0.0
11,14501,14.79468645475211,0.1479468645475211,980.1491937223328,53,55397.61447562272,0.0,56425.40828149352,0.0,56606.666845276566,0.0,56689.62784423308,0.0
