time,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
0.000000000000000000e+00,6.400307009436041028e+01,6.400839713393072827e+01,6.400392949540278664e+01,6.401110235879158950e+01,6.400612681580996366e+01,6.401978937995417596e+01,6.399272048737341834e+01,6.400994706968525350e+01,6.399277432477404659e+01,6.400261131878248477e+01,6.399410193959597848e+01,6.399199115334148047e+01,6.398903765969248525e+01,6.400686086687613852e+01,6.399456687278048150e+01,6.401001213438870252e+01,6.399371103576665121e+01,6.400598905611860800e+01,6.400108816573860793e+01,6.400508289716670163e+01,6.400391919026434095e+01,6.399261322978257738e+01,6.400831887674578979e+01,6.401070862982831500e+01,6.398864826034677833e+01,6.399245276721848796e+01,6.399372181886423050e+01,6.400797519003772607e+01,6.400290487252368621e+01,6.399281680899568414e+01,6.400977089716997170e+01,6.401058593064310287e+01,6.397822410637179047e+01,6.400008954037872400e+01,6.402219334661396033e+01,6.400810543104398675e+01,6.400644412116577087e+01,6.400330573842701654e+01,6.401413233286075410e+01,6.401378093931737112e+01
1.000000000000000021e-02,6.399549149008700510e+01,6.400483385571853034e+01,6.401136941129946933e+01,6.401317889637900294e+01,6.401009343019357800e+01,6.400683615029544171e+01,6.398868694863278961e+01,6.399831388307038793e+01,6.399737162862625439e+01,6.399614369755384047e+01,6.399035154217860821e+01,6.398904750749849768e+01,6.399970118880791148e+01,6.401327009186213957e+01,6.400204068946882785e+01,6.400132041877796496e+01,6.399693548725096548e+01,6.400494355715902373e+01,6.400627925650985617e+01,6.400271129813542359e+01,6.399764308361729803e+01,6.399686069709720471e+01,6.401259318775395002e+01,6.400290606905356583e+01,6.397509250444316820e+01,6.398895878762576928e+01,6.401267118116491872e+01,6.401549252616322860e+01,6.399700251599848855e+01,6.399250423742602578e+01,6.401227642642416527e+01,6.399980913528091264e+01,6.397576658755694723e+01,6.401735843874949694e+01,6.404178696430980722e+01,6.400261239873658781e+01,6.398950616621180387e+01,6.400997886605294696e+01,6.402292506714810827e+01,6.400990582791209249e+01
2.000000000000000042e-02,6.398152951012701806e+01,6.401546870863658967e+01,6.402713684417892637e+01,6.401123231884758980e+01,6.399673414108229252e+01,6.398887717156362243e+01,6.398397127882125091e+01,6.399974898509152155e+01,6.400239008017241815e+01,6.398986071814483978e+01,6.398565164033909269e+01,6.399880643560400983e+01,6.401795185955252521e+01,6.401758435995134278e+01,6.399375049170750884e+01,6.399005852379726633e+01,6.400235513326802561e+01,6.401235400221362681e+01,6.400648621464840460e+01,6.399452354823789335e+01,6.399365377419982082e+01,6.400565069720731515e+01,6.401145451343431603e+01,6.398244213983362982e+01,6.396521786838486889e+01,6.401048653341165107e+01,6.404181581397753575e+01,6.400907399396302822e+01,6.397428338223902244e+01,6.399202440026218142e+01,6.401744184807783711e+01,6.399285399195213131e+01,6.398825190659668039e+01,6.404972878458298169e+01,6.404618271792381279e+01,6.396864375573392181e+01,6.397307063097905200e+01,6.403660011309710853e+01,6.403672100209921325e+01,6.398939156318892429e+01
2.999999999999999889e-02,6.398010216731649535e+01,6.406020610616768352e+01,6.404008326329613965e+01,6.397718234488885258e+01,6.396338098952166717e+01,6.398327519724824697e+01,6.400002575953320161e+01,6.401197656081370724e+01,6.399894318603210053e+01,6.397780204250526026e+01,6.399134367068135987e+01,6.402615153305677609e+01,6.403323430462918964e+01,6.399888135373259246e+01,6.396890643802923648e+01,6.399067617904663052e+01,6.402486183840038336e+01,6.402037145192949197e+01,6.399096782840295106e+01,6.398071848520377358e+01,6.400041907719588608e+01,6.401645379705348660e+01,6.399448585750471352e+01,6.395711438031638352e+01,6.398478114083527402e+01,6.406262553186479636e+01,6.405256256495181333e+01,6.395944626285672996e+01,6.394203060461298094e+01,6.401646710886768687e+01,6.404016771458312007e+01,6.399300215105762391e+01,6.401184993718121063e+01,6.407351183716468768e+01,6.400809219823315743e+01,6.391441745490884330e+01,6.399456675407346040e+01,6.409700582410309266e+01,6.402788663132581348e+01,6.393415770163069567e+01
4.000000000000000083e-02,6.404995235218652283e+01,6.414442854446411957e+01,6.399448510693898129e+01,6.388147352074151542e+01,6.394880416399589507e+01,6.403766384134758027e+01,6.403902452154783020e+01,6.400129262395519447e+01,6.396954945033014894e+01,6.397477335746072669e+01,6.402836868787142066e+01,6.406048854751169586e+01,6.401218869469482797e+01,6.394433006682014309e+01,6.395655565362629602e+01,6.403479223335543224e+01,6.405947224560287623e+01,6.399722030797725125e+01,6.394934930214417790e+01,6.398050762493613064e+01,6.402992457116074831e+01,6.401579209259905667e+01,6.395614475817013300e+01,6.395651132023210295e+01,6.405726056864472184e+01,6.411021541208292263e+01,6.398617854563824636e+01,6.386525493187895819e+01,6.395981951769413598e+01,6.410746360633341112e+01,6.406786347038324436e+01,6.396955224020916830e+01,6.402081336993748550e+01,6.406290109788916709e+01,6.393115619767638691e+01,6.389468979151771322e+01,6.409652265240190161e+01,6.415542788994535783e+01,6.393492083394028924e+01,6.385485675901649216e+01
5.000000000000000278e-02,6.426662335114987457e+01,6.418584636327980775e+01,6.378538915947292054e+01,6.376463068043006643e+01,6.407397986245499055e+01,6.418020762724211181e+01,6.401913429022225444e+01,6.390327152530263533e+01,6.394176274824478412e+01,6.403968909463634418e+01,6.409824288782577639e+01,6.404263684812167412e+01,6.391695245509358614e+01,6.389429247338218687e+01,6.402645323390598264e+01,6.412774100593735227e+01,6.404224803818334522e+01,6.389954835236069641e+01,6.391394113511180564e+01,6.404330265678531475e+01,6.407549017504709354e+01,6.397012445911897061e+01,6.391248710796816823e+01,6.402813562535129677e+01,6.416190239176343368e+01,6.405797400346445158e+01,6.380802576816742544e+01,6.382361398002731789e+01,6.413477322249860890e+01,6.424571788435197561e+01,6.400030133760337492e+01,6.386706249805411062e+01,6.402092806940289904e+01,6.404421021936846614e+01,6.387335707842166954e+01,6.397508564277291043e+01,6.425130227071518618e+01,6.409622507395485513e+01,6.372208600118134569e+01,6.385805664787176994e+01
5.999999999999999778e-02,6.458009637855339236e+01,6.393863002485306168e+01,6.337284301382177887e+01,6.386439718387058662e+01,6.448935704101776878e+01,6.426329217278497197e+01,6.373816896553542222e+01,6.373863625269132172e+01,6.407882604727346632e+01,6.422719875189432059e+01,6.408895962417410885e+01,6.386623655774810970e+01,6.379601589551566576e+01,6.398816630730997446e+01,6.422252674475869583e+01,6.415617677858377021e+01,6.385620753321803278e+01,6.376333433479952362e+01,6.401025817596276113e+01,6.420304684043975385e+01,6.405497750149118019e+01,6.383906969522641361e+01,6.393241685601217483e+01,6.420364293021890489e+01,6.418319524767193229e+01,6.380025558023628918e+01,6.362939745172901240e+01,6.405194736953561119e+01,6.448773287593773773e+01,6.421603810987890881e+01,6.367352009527751733e+01,6.374107712546436488e+01,6.414696123304896958e+01,6.409211626564173514e+01,6.386749868950369802e+01,6.412598699661265300e+01,6.431317784534861914e+01,6.380942371712432504e+01,6.351645156918279156e+01,6.414845756717080860e+01
7.000000000000000666e-02,6.459811424459523721e+01,6.311814898324474399e+01,6.308020504963239006e+01,6.463034206050804187e+01,6.507153145206571310e+01,6.377887239411364817e+01,6.307410983402043314e+01,6.387798404351365633e+01,6.464404416614749493e+01,6.434710810134667724e+01,6.369495579861192169e+01,6.355143582632226185e+01,6.393651518018719315e+01,6.437784928805898232e+01,6.436119926762468424e+01,6.384873308757681798e+01,6.350640303963510291e+01,6.384980071143382219e+01,6.439059447273665171e+01,6.431607081394544423e+01,6.378160744352721423e+01,6.367639423331364412e+01,6.416583986885071056e+01,6.441168477031922635e+01,6.390611670085830553e+01,6.338787492834949688e+01,6.380400497271569549e+01,6.470876626509543428e+01,6.468061669926791524e+01,6.360509258049735593e+01,6.314753664457449389e+01,6.397715072327925157e+01,6.460301087562345401e+01,6.411468129014470207e+01,6.376039923778394325e+01,6.420496708006015751e+01,6.415920250497961774e+01,6.340460085365062071e+01,6.365248747236867644e+01,6.480712651346389919e+01
8.000000000000000167e-02,6.365315123566549005e+01,6.195103266085752836e+01,6.381625474287504574e+01,6.626292586597924128e+01,6.487755282661859724e+01,6.207092548435835511e+01,6.262041022503623822e+01,6.516283630692669249e+01,6.549624888881594131e+01,6.359498847063751725e+01,6.269843302472980184e+01,6.368090170899932190e+01,6.482119764846980559e+01,6.479869316920282074e+01,6.383043190403058986e+01,6.308071931452975178e+01,6.348827376939537004e+01,6.459069709806892945e+01,6.486686500658576904e+01,6.388628848486726497e+01,6.317446196417454019e+01,6.384003325688113506e+01,6.475160112719976269e+01,6.432196365212934097e+01,6.315933242793470725e+01,6.326433048215409372e+01,6.477726515198082780e+01,6.542799914424190888e+01,6.387122908245895303e+01,6.229621328412653014e+01,6.320577858832713503e+01,6.519202009457666236e+01,6.514001435706877885e+01,6.351713895047212333e+01,6.332355844419270596e+01,6.429129346291300351e+01,6.398193872151016137e+01,6.324574002065660494e+01,6.434776850299402895e+01,6.539483928754215469e+01
8.999999999999999667e-02,6.164396913213384011e+01,6.177663548784636305e+01,6.651206936757918697e+01,6.757222320954035411e+01,6.205475415504893988e+01,5.960389413225374255e+01,6.430095748612745865e+01,6.810915723988524917e+01,6.495228730471231415e+01,6.079296842447781302e+01,6.205164190369627875e+01,6.566280969576460791e+01,6.629859351113762500e+01,6.385708829889129845e+01,6.203430716805090839e+01,6.275342642677088634e+01,6.487750880072458415e+01,6.584965686168440868e+01,6.433810972762007907e+01,6.240382366496430677e+01,6.289616142752690564e+01,6.501966071817217596e+01,6.536118384518245250e+01,6.324940329504143222e+01,6.224402183178604275e+01,6.433212178949759164e+01,6.645192096804383652e+01,6.481109351658494688e+01,6.135969401995756556e+01,6.150353741380378381e+01,6.534614263558532343e+01,6.720054350934850618e+01,6.419435113525710790e+01,6.152847604350262856e+01,6.313665847152928734e+01,6.516231697127743416e+01,6.410565558053272639e+01,6.336675915236064327e+01,6.514748280918071544e+01,6.497417843081932176e+01
